latitude	longitude	altitude	temperature	municipality	vereda	uchuva_ideal	temp_prob	alt_prob	alt_temp_prob	geometry
7.333	-76.471	412.0	24.22	Mutata	PARQUE NATURAL PARAMILLO	0	0.2185439807072865	0.16825543632226525	0.03677121282950921	POINT (-76.471 7.333)
7.333	-76.462	359.0	24.12	Mutata	SARAMBAY	0	0.22625604014160008	0.1520204086066309	0.03439553567204433	POINT (-76.462 7.333)
7.333	-76.453	312.0	24.43	Mutata	SARAMBAY	0	0.2029292262280174	0.13861263981888777	0.02812855574386977	POINT (-76.453 7.333)
7.333	-76.444	665.0	22.57	Mutata	PARQUE NATURAL PARAMILLO	0	0.3679905575404033	0.26273417484047445	0.09668369548446398	POINT (-76.444 7.333)
7.333	-76.435	799.0	21.7	Mutata	PARQUE NATURAL PARAMILLO	0	0.4635690174959986	0.32416569162590314	0.1502731711729308	POINT (-76.435 7.333)
7.333	-76.426	746.0	22.04	Mutata	PARQUE NATURAL PARAMILLO	0	0.42509950842203786	0.2989562611712948	0.12708615966360778	POINT (-76.426 7.333)
7.333	-76.416	618.0	22.88	Mutata	PARQUE NATURAL PARAMILLO	0	0.33645596509194925	0.24303203817274613	0.08176957895167475	POINT (-76.416 7.333)
7.333	-76.407	880.0	22.09	Mutata	PARQUE NATURAL PARAMILLO	0	0.419554434946385	0.3648751641236792	0.1530849933098797	POINT (-76.407 7.333)
7.333	-76.398	758.0	21.97	Mutata	PARQUE NATURAL PARAMILLO	0	0.432913214272535	0.30456157363753394	0.13184872978732617	POINT (-76.398 7.333)
7.333	-76.389	737.0	22.1	Mutata	PARQUE NATURAL PARAMILLO	0	0.4184491089130353	0.29479222288560425	0.12335554298097398	POINT (-76.389 7.333)
7.333	-76.38	1066.0	20.88	Mutata	PARQUE NATURAL PARAMILLO	0	0.5605213198468549	0.46702242649175346	0.26177602689523843	POINT (-76.38 7.333)
7.333	-76.371	1087.0	20.75	Mutata	PARQUE NATURAL PARAMILLO	0	0.5762290736717999	0.47917734979640314	0.2761159203976894	POINT (-76.371 7.333)
7.333	-76.362	1525.0	18.57	Mutata	PARQUE NATURAL PARAMILLO	0	0.8282021598413053	0.7405867511567519	0.6133555468578772	POINT (-76.362 7.333)
7.333	-76.353	1559.0	18.35	Mutata	PARQUE NATURAL PARAMILLO	0	0.850058592092447	0.7599212268159979	0.6459775681683724	POINT (-76.353 7.333)
7.333	-76.343	1570.0	18.28	Mutata	PARQUE NATURAL PARAMILLO	0	0.8567852287656083	0.7660943074839663	0.6563782864936804	POINT (-76.343 7.333)
7.333	-76.334	1628.0	17.9	Ituango	PARQUE NAL NATURAL DEL PARAMILLO	0	0.8911878885041845	0.7978840442882552	0.7110645967004294	POINT (-76.334 7.333)
7.333	-76.325	1953.0	15.79	Ituango	PARQUE NAL NATURAL DEL PARAMILLO	1	0.9983194137692356	0.9415719624282025	0.9399895695528718	POINT (-76.325 7.333)
7.333	-76.316	1857.0	16.42	Ituango	PARQUE NAL NATURAL DEL PARAMILLO	1	0.9832144735285728	0.9065360329917543	0.8913193484126687	POINT (-76.316 7.333)
7.333	-76.307	1593.0	18.13	Ituango	PARQUE NAL NATURAL DEL PARAMILLO	0	0.8708043101412821	0.7788595847502622	0.6782342833953775	POINT (-76.307 7.333)
7.333	-76.298	1455.0	19.03	Ituango	PARQUE NAL NATURAL DEL PARAMILLO	0	0.7794100434735357	0.6997637506330588	0.5454028953021168	POINT (-76.298 7.333)
